result_id,car_number,starting_grid_position,final_position,points,laps,time,fastest_lap,top_speed_of_fl,constructor_id_id,driver_id_id,race_id_id
14697,8,20,9,0,79,,00:00:00,0,34,313,596
14698,10,17,10,0,78,,00:00:00,0,37,230,596
14699,28,14,11,0,77,,00:00:00,0,34,187,596
14723,1,10,8,0,73,,00:00:00,0,32,238,597
14724,8,23,9,0,73,,00:00:00,0,34,313,597
14725,10,15,10,0,72,,00:00:00,0,37,230,597
14726,2,18,11,0,71,,00:00:00,0,32,235,597
14727,7,12,12,0,71,,00:00:00,0,34,199,597
14660,44,0,DNQ,0,0,,00:00:00,0,63,316,594
14688,8,0,DNQ,0,0,,00:00:00,0,34,313,595
14715,20,0,DNQ,0,0,,00:00:00,0,80,308,596
14741,23,0,DNQ,0,0,,00:00:00,0,77,314,597
14686,19,17,DNS,0,0,,00:00:00,0,63,200,595
14687,30,20,DNS,0,0,,00:00:00,0,78,278,595
14749,33,6,7,0,79,,00:00:00,0,1,305,598
14750,4,9,8,0,79,,00:00:00,0,25,221,598
14751,20,15,9,0,79,,00:00:00,0,80,232,598
14752,14,17,10,0,79,,00:00:00,0,66,306,598
14753,10,16,11,0,79,,00:00:00,0,37,230,598
14754,17,12,12,0,79,,00:00:00,0,58,197,598
14755,26,21,13,0,78,,00:00:00,0,26,289,598
14756,37,22,14,0,78,,00:00:00,0,66,296,598
14757,27,20,15,0,77,,00:00:00,0,26,265,598
14758,28,14,16,0,76,,00:00:00,0,34,187,598
14777,12,1,5,2,74,,00:00:00,0,6,182,599
14778,7,4,6,1,74,,00:00:00,0,34,199,599
14779,6,19,7,0,74,,00:00:00,0,1,304,599
14780,16,5,8,0,74,,00:00:00,0,58,252,599
14781,8,20,9,0,74,,00:00:00,0,34,250,599
14782,1,2,10,0,73,,00:00:00,0,32,238,599
14783,28,13,11,0,73,,00:00:00,0,34,187,599
14784,14,23,12,0,72,,00:00:00,0,66,306,599
14785,26,22,13,0,69,,00:00:00,0,26,289,599
14786,19,17,14,0,68,,00:00:00,0,63,200,599
27310,12,8,6,8,56,+53.748s,00:01:36.046,204.314,131,865,1148
14820,32,20,14,0,13,,00:00:00,0,79,270,600
14821,33,12,15,0,12,,00:00:00,0,1,305,600
14845,33,17,7,0,53,,00:00:00,0,1,322,601
14846,17,23,8,0,52,,00:00:00,0,58,197,601
14847,30,25,9,0,51,,00:00:00,0,63,323,601
14848,23,19,10,0,50,,00:00:00,0,77,314,601
14849,9,15,11,0,48,,00:00:00,0,37,233,601
14850,26,21,12,0,48,,00:00:00,0,26,289,601
27311,23,10,7,6,56,+56.321s,00:01:36.254,203.873,3,848,1148
27312,87,17,8,4,56,+61.303s,00:01:36.363,203.642,210,860,1148
14742,21,0,DNQ,0,0,,00:00:00,0,80,298,597
14765,22,0,DNQ,0,0,,00:00:00,0,57,267,598
14766,8,0,DNQ,0,0,,00:00:00,0,34,313,598
14767,34,0,DNQ,0,0,,00:00:00,0,34,250,598
14768,21,0,DNQ,0,0,,00:00:00,0,80,219,598
14769,9,0,DNQ,0,0,,00:00:00,0,37,233,598
14770,18,0,DNQ,0,0,,00:00:00,0,63,319,598
14771,23,0,DNQ,0,0,,00:00:00,0,63,316,598
14772,43,0,DNQ,0,0,,00:00:00,0,34,315,598
14798,42,0,DNQ,0,0,,00:00:00,0,79,259,599
14799,18,0,DNQ,0,0,,00:00:00,0,63,321,599
14800,21,0,DNQ,0,0,,00:00:00,0,80,311,599
14801,208,0,DNQ,0,0,,00:00:00,0,34,275,599
14802,22,0,DNQ,0,0,,00:00:00,0,57,267,599
14803,29,0,DNQ,0,0,,00:00:00,0,76,300,599
14804,25,0,DNQ,0,0,,00:00:00,0,74,307,599
14805,35,0,DNQ,0,0,,00:00:00,0,37,283,599
14806,43,0,DNQ,0,0,,00:00:00,0,63,316,599
14833,37,0,DNQ,0,0,,00:00:00,0,66,296,600
14834,23,0,DNQ,0,0,,00:00:00,0,77,314,600
14835,27,0,DNQ,0,0,,00:00:00,0,26,265,600
14836,30,0,DNQ,0,0,,00:00:00,0,78,256,600
14837,30,0,DNQ,0,0,,00:00:00,0,78,278,600
14838,25,0,DNQ,0,0,,00:00:00,0,74,307,600
14955,31,27,DSQ,0,6,,00:00:00,0,32,314,604
14956,55,3,DSQ,0,4,,00:00:00,0,73,207,604
14874,8,3,5,2,51,,00:00:00,0,34,250,602
14875,6,19,6,1,51,,00:00:00,0,1,304,602
14876,28,4,7,0,51,,00:00:00,0,34,187,602
14877,26,21,8,0,51,,00:00:00,0,26,289,602
14878,33,23,9,0,51,,00:00:00,0,1,322,602
14879,16,22,10,0,50,,00:00:00,0,58,252,602
14880,4,10,11,0,50,,00:00:00,0,25,221,602
14906,6,14,6,1,79,,00:00:00,0,1,304,603
14907,55,16,7,0,79,,00:00:00,0,73,207,603
14908,8,9,8,0,79,,00:00:00,0,34,250,603
14909,7,4,9,0,79,,00:00:00,0,34,199,603
14910,19,22,10,0,78,,00:00:00,0,63,324,603
14911,27,11,11,0,78,,00:00:00,0,26,243,603
14912,66,24,12,0,78,,00:00:00,0,67,288,603
14913,2,21,13,0,78,,00:00:00,0,32,235,603
14914,26,20,14,0,77,,00:00:00,0,26,289,603
14915,21,18,15,0,74,,00:00:00,0,80,172,603
14916,33,12,16,0,72,,00:00:00,0,1,200,603
27313,18,14,9,2,56,+70.204s,00:01:36.044,204.318,117,840,1148
27314,55,15,10,1,56,+76.387s,00:01:36.779,202.767,3,832,1148
14938,26,24,8,0,58,,00:00:00,0,26,289,604
14939,15,12,9,0,57,,00:00:00,0,66,278,604
14940,17,10,10,0,57,,00:00:00,0,58,197,604
14941,11,9,11,0,55,,00:00:00,0,6,223,604
14942,27,21,12,0,54,,00:00:00,0,26,243,604
27315,6,7,11,0,56,+78.875s,00:01:35.868,204.693,215,863,1148
27316,30,20,12,0,56,+81.147s,00:01:35.985,204.444,9,859,1148
